2026-05-19 20:47:51 | HIGH     | dns_anomaly      | src=10.16.98.107           dst=8.8.8.8                | DNS query with 51-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "watt-corps-impression-distributor.trycloudflare.com", "domain_length": 51, "threshold": 50}
2026-05-19 20:50:28 | HIGH     | dns_anomaly      | src=10.16.98.107           dst=8.8.8.8                | DNS query with 57-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "presence-public-service-prod.social.live.on.epicgames.com", "domain_length": 57, "threshold": 50}
2026-05-19 21:01:20 | MEDIUM   | port_scan        | src=160.79.104.10          dst=-                      | 16 unique destination ports contacted in 60s (threshold=15) | extra={"unique_ports": [15359, 16676, 40320, 47181, 49380, 50390, 55420, 55635, 56951, 57694, 60107, 60910, 61118, 61222, 61441, 63835], "unique_port_count": 16, "window_seconds": 60, "threshold": 15}
2026-05-19 21:03:01 | HIGH     | dns_anomaly      | src=10.16.98.107           dst=8.8.8.8                | DNS query with 54-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "priceengine-public-service-ecomprod01.ol.epicgames.com", "domain_length": 54, "threshold": 50}
2026-05-19 21:12:55 | HIGH     | dns_anomaly      | src=10.16.98.107           dst=8.8.8.8                | DNS query with 54-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "discord-attachments-uploads-prd.storage.googleapis.com", "domain_length": 54, "threshold": 50}
2026-05-19 21:14:44 | LOW      | large_transfer   | src=10.16.98.107           dst=40.160.30.110          | TCP connection transferred 10.0 MB (threshold=10 MB) | extra={"bytes_transferred": 10486491, "threshold_bytes": 10485760}
2026-05-19 21:40:07 | HIGH     | dns_anomaly      | src=10.16.98.107           dst=8.8.8.8                | DNS query with 52-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "github-production-user-asset-6210df.s3.amazonaws.com", "domain_length": 52, "threshold": 50}
2026-05-19 21:40:07 | MEDIUM   | port_scan        | src=140.82.116.4           dst=-                      | 16 unique destination ports contacted in 60s (threshold=15) | extra={"unique_ports": [52947, 52948, 52949, 52950, 52951, 52952, 52953, 52954, 52955, 52956, 52957, 52958, 52959, 52960, 52961, 52979], "unique_port_count": 16, "window_seconds": 60, "threshold": 15}
2026-05-19 21:40:08 | MEDIUM   | port_scan        | src=16.15.254.189          dst=-                      | 16 unique destination ports contacted in 60s (threshold=15) | extra={"unique_ports": [52962, 52963, 52964, 52965, 52966, 52967, 52968, 52969, 52970, 52971, 52972, 52973, 52974, 52975, 52985, 52987], "unique_port_count": 16, "window_seconds": 60, "threshold": 15}
2026-05-19 22:07:59 | LOW      | large_transfer   | src=10.16.98.115           dst=10.16.98.107           | TCP connection transferred 10.0 MB (threshold=10 MB) | extra={"bytes_transferred": 10517714, "threshold_bytes": 10485760}
2026-05-19 22:17:20 | MEDIUM   | port_scan        | src=10.16.96.1             dst=-                      | 16 unique destination ports contacted in 60s (threshold=15) | extra={"unique_ports": [2869, 5678, 13695, 31366, 31367, 31368, 31369, 31377, 31378, 31379, 31380, 31381, 31383, 31392, 31393, 50432], "unique_port_count": 16, "window_seconds": 60, "threshold": 15}
2026-05-19 22:23:22 | MEDIUM   | port_scan        | src=10.16.96.1             dst=-                      | 16 unique destination ports contacted in 60s (threshold=15) | extra={"unique_ports": [2869, 5678, 22454, 22976, 22983, 22985, 22986, 22987, 22993, 22994, 22995, 22996, 22997, 22998, 23010, 50432], "unique_port_count": 16, "window_seconds": 60, "threshold": 15}
2026-05-19 22:28:31 | MEDIUM   | port_scan        | src=10.16.96.1             dst=-                      | 16 unique destination ports contacted in 60s (threshold=15) | extra={"unique_ports": [2869, 5678, 20266, 20274, 20275, 20276, 20277, 20283, 20284, 20285, 20286, 20287, 20288, 20301, 20302, 50432], "unique_port_count": 16, "window_seconds": 60, "threshold": 15}
